y	x	key	label	showSelected1	group
2	1	1	π = 2.000000	1	-1
2	2	2	π = 2.000000	2	-1
3	3	3	π = 3.000000	3	-1
4	4	4	π = 4.000000	4	-1
5	5	5	π = 5.000000	5	-1
6	6	6	π = 6.000000	6	-1
4.66666666666667	7	7	π = 4.666667	7	-1
4	8	8	π = 4.000000	8	-1
4.5	9	9	π = 4.500000	9	-1
4	10	10	π = 4.000000	10	-1
3.66666666666667	11	11	π = 3.666667	11	-1
3.42857142857143	12	12	π = 3.428571	12	-1
3.25	13	13	π = 3.250000	13	-1
3.11111111111111	14	14	π = 3.111111	14	-1
3.33333333333333	15	15	π = 3.333333	15	-1
3.2	16	16	π = 3.200000	16	-1
3.09090909090909	17	17	π = 3.090909	17	-1
3.27272727272727	18	18	π = 3.272727	18	-1
3.16666666666667	19	19	π = 3.166667	19	-1
3.33333333333333	20	20	π = 3.333333	20	-1
3.5	21	21	π = 3.500000	21	-1
3.66666666666667	22	22	π = 3.666667	22	-1
3.83333333333333	23	23	π = 3.833333	23	-1
3.69230769230769	24	24	π = 3.692308	24	-1
3.57142857142857	25	25	π = 3.571429	25	-1
3.71428571428571	26	26	π = 3.714286	26	-1
3.6	27	27	π = 3.600000	27	-1
3.5	28	28	π = 3.500000	28	-1
3.41176470588235	29	29	π = 3.411765	29	-1
3.33333333333333	30	30	π = 3.333333	30	-1
3.26315789473684	31	31	π = 3.263158	31	-1
3.2	32	32	π = 3.200000	32	-1
3.3	33	33	π = 3.300000	33	-1
3.23809523809524	34	34	π = 3.238095	34	-1
3.18181818181818	35	35	π = 3.181818	35	-1
3.1304347826087	36	36	π = 3.130435	36	-1
3.21739130434783	37	37	π = 3.217391	37	-1
3.16666666666667	38	38	π = 3.166667	38	-1
3.12	39	39	π = 3.120000	39	-1
3.2	40	40	π = 3.200000	40	-1
3.15384615384615	41	41	π = 3.153846	41	-1
3.23076923076923	42	42	π = 3.230769	42	-1
3.18518518518519	43	43	π = 3.185185	43	-1
3.14285714285714	44	44	π = 3.142857	44	-1
3.21428571428571	45	45	π = 3.214286	45	-1
3.17241379310345	46	46	π = 3.172414	46	-1
3.13333333333333	47	47	π = 3.133333	47	-1
3.09677419354839	48	48	π = 3.096774	48	-1
3.0625	49	49	π = 3.062500	49	-1
3.125	50	50	π = 3.125000	50	-1
3.1875	51	51	π = 3.187500	51	-1
3.15151515151515	52	52	π = 3.151515	52	-1
3.11764705882353	53	53	π = 3.117647	53	-1
3.08571428571429	54	54	π = 3.085714	54	-1
3.05555555555556	55	55	π = 3.055556	55	-1
3.11111111111111	56	56	π = 3.111111	56	-1
3.08108108108108	57	57	π = 3.081081	57	-1
3.05263157894737	58	58	π = 3.052632	58	-1
3.02564102564103	59	59	π = 3.025641	59	-1
3	60	60	π = 3.000000	60	-1
2.97560975609756	61	61	π = 2.975610	61	-1
2.95238095238095	62	62	π = 2.952381	62	-1
2.93023255813954	63	63	π = 2.930233	63	-1
2.97674418604651	64	64	π = 2.976744	64	-1
3.02325581395349	65	65	π = 3.023256	65	-1
3	66	66	π = 3.000000	66	-1
2.97777777777778	67	67	π = 2.977778	67	-1
2.95652173913043	68	68	π = 2.956522	68	-1
3	69	69	π = 3.000000	69	-1
3.04347826086957	70	70	π = 3.043478	70	-1
3.02127659574468	71	71	π = 3.021277	71	-1
3.06382978723404	72	72	π = 3.063830	72	-1
3.04166666666667	73	73	π = 3.041667	73	-1
3.02040816326531	74	74	π = 3.020408	74	-1
3.06122448979592	75	75	π = 3.061224	75	-1
3.04	76	76	π = 3.040000	76	-1
3.01960784313726	77	77	π = 3.019608	77	-1
3	78	78	π = 3.000000	78	-1
3.03846153846154	79	79	π = 3.038462	79	-1
3.07692307692308	80	80	π = 3.076923	80	-1
3.11538461538462	81	81	π = 3.115385	81	-1
3.15384615384615	82	82	π = 3.153846	82	-1
3.13207547169811	83	83	π = 3.132075	83	-1
3.11111111111111	84	84	π = 3.111111	84	-1
3.14814814814815	85	85	π = 3.148148	85	-1
3.18518518518519	86	86	π = 3.185185	86	-1
3.16363636363636	87	87	π = 3.163636	87	-1
3.14285714285714	88	88	π = 3.142857	88	-1
3.17857142857143	89	89	π = 3.178571	89	-1
3.21428571428571	90	90	π = 3.214286	90	-1
3.19298245614035	91	91	π = 3.192982	91	-1
3.2280701754386	92	92	π = 3.228070	92	-1
3.20689655172414	93	93	π = 3.206897	93	-1
3.1864406779661	94	94	π = 3.186441	94	-1
3.16666666666667	95	95	π = 3.166667	95	-1
3.14754098360656	96	96	π = 3.147541	96	-1
3.12903225806452	97	97	π = 3.129032	97	-1
3.11111111111111	98	98	π = 3.111111	98	-1
3.09375	99	99	π = 3.093750	99	-1
3.07692307692308	100	100	π = 3.076923	100	-1
3.06060606060606	101	101	π = 3.060606	101	-1
3.04477611940299	102	102	π = 3.044776	102	-1
3.07462686567164	103	103	π = 3.074627	103	-1
3.1044776119403	104	104	π = 3.104478	104	-1
3.13432835820896	105	105	π = 3.134328	105	-1
3.16417910447761	106	106	π = 3.164179	106	-1
3.14705882352941	107	107	π = 3.147059	107	-1
3.1304347826087	108	108	π = 3.130435	108	-1
3.11428571428571	109	109	π = 3.114286	109	-1
3.09859154929577	110	110	π = 3.098592	110	-1
3.08333333333333	111	111	π = 3.083333	111	-1
3.06849315068493	112	112	π = 3.068493	112	-1
3.0958904109589	113	113	π = 3.095890	113	-1
3.08108108108108	114	114	π = 3.081081	114	-1
3.10810810810811	115	115	π = 3.108108	115	-1
3.13513513513514	116	116	π = 3.135135	116	-1
