y	x	key	label	showSelected1	group
3.0188679245283	160	160	π = 3.018868	160	-1
3.0377358490566	161	161	π = 3.037736	161	-1
3.05660377358491	162	162	π = 3.056604	162	-1
3.04672897196262	163	163	π = 3.046729	163	-1
3.06542056074766	164	164	π = 3.065421	164	-1
3.08411214953271	165	165	π = 3.084112	165	-1
3.07407407407407	166	166	π = 3.074074	166	-1
3.06422018348624	167	167	π = 3.064220	167	-1
3.05454545454545	168	168	π = 3.054545	168	-1
3.07272727272727	169	169	π = 3.072727	169	-1
3.06306306306306	170	170	π = 3.063063	170	-1
3.05357142857143	171	171	π = 3.053571	171	-1
3.04424778761062	172	172	π = 3.044248	172	-1
3.03508771929825	173	173	π = 3.035088	173	-1
3.02608695652174	174	174	π = 3.026087	174	-1
3.01724137931034	175	175	π = 3.017241	175	-1
3.00854700854701	176	176	π = 3.008547	176	-1
3	177	177	π = 3.000000	177	-1
2.99159663865546	178	178	π = 2.991597	178	-1
2.98333333333333	179	179	π = 2.983333	179	-1
2.97520661157025	180	180	π = 2.975207	180	-1
2.9672131147541	181	181	π = 2.967213	181	-1
2.95934959349594	182	182	π = 2.959350	182	-1
2.97560975609756	183	183	π = 2.975610	183	-1
2.96774193548387	184	184	π = 2.967742	184	-1
2.96	185	185	π = 2.960000	185	-1
2.976	186	186	π = 2.976000	186	-1
2.96825396825397	187	187	π = 2.968254	187	-1
2.96062992125984	188	188	π = 2.960630	188	-1
2.953125	189	189	π = 2.953125	189	-1
2.94573643410853	190	190	π = 2.945736	190	-1
2.96124031007752	191	191	π = 2.961240	191	-1
2.97674418604651	192	192	π = 2.976744	192	-1
2.9922480620155	193	193	π = 2.992248	193	-1
2.98461538461538	194	194	π = 2.984615	194	-1
2.97709923664122	195	195	π = 2.977099	195	-1
2.96969696969697	196	196	π = 2.969697	196	-1
2.98484848484848	197	197	π = 2.984848	197	-1
3	198	198	π = 3.000000	198	-1
2.99248120300752	199	199	π = 2.992481	199	-1
3.00751879699248	200	200	π = 3.007519	200	-1
